POS,Nombre,Team,POS,GP,CMP,ATT,YDS,LNG,TD,INT,SACK,SYL,Season
1,Tua Tagovailoa,MIA,QB,17,388,560,"4,624",78,29,14,29,171,2023
2,Jared Goff,DET,QB,17,407,605,"4,575",70,30,12,30,197,2023
3,Dak Prescott,DAL,QB,17,410,590,"4,516",92,36,9,39,255,2023
4,Josh Allen,BUF,QB,17,385,579,"4,306",81,29,18,24,152,2023
5,Brock Purdy,SF,QB,16,308,444,"4,280",76,31,11,28,153,2023
6,Patrick Mahomes,KC,QB,16,401,597,"4,183",67,27,14,27,186,2023
7,Jordan Love,GB,QB,17,372,579,"4,159",77,32,11,30,242,2023
8,C.J. Stroud,HOU,QB,15,319,499,"4,108",75,23,5,38,331,2023
9,Baker Mayfield,TB,QB,17,364,566,"4,044",75,28,10,40,232,2023
10,Trevor Lawrence,JAX,QB,16,370,564,"4,016",65,21,14,35,224,2023
11,Matthew Stafford,LAR,QB,15,326,521,"3,965",80,24,11,30,205,2023
12,Sam Howell,WSH,QB,17,388,612,"3,946",51,21,21,65,449,2023
13,Derek Carr,NO,QB,17,375,548,"3,878",58,25,8,31,218,2023
14,Jalen Hurts,PHI,QB,17,352,538,"3,858",63,23,15,36,222,2023
15,Lamar Jackson,BAL,QB,16,307,457,"3,678",80,24,7,37,218,2023
16,Geno Smith,SEA,QB,15,323,499,"3,624",73,20,9,31,231,2023
17,Gardner Minshew,IND,QB,17,305,490,"3,305",75,15,9,34,187,2023
18,Justin Herbert,LAC,QB,13,297,456,"3,134",60,20,7,29,233,2023
19,Russell Wilson,DEN,QB,15,297,447,"3,070",60,26,8,45,258,2023
20,Bryce Young,CAR,QB,16,315,527,"2,877",48,11,10,62,477,2023
21,Desmond Ridder,ATL,QB,15,249,388,"2,836",71,12,12,31,197,2023
22,Justin Fields,CHI,QB,13,227,370,"2,562",58,16,9,44,285,2023
23,Joshua Dobbs,MIN,QB,13,262,417,"2,464",69,13,10,30,217,2023
24,Kirk Cousins,MIN,QB,8,216,311,"2,331",62,18,5,17,110,2023
25,Joe Burrow,CIN,QB,10,244,365,"2,309",64,15,6,24,180,2023
26,Zach Wilson,NYJ,QB,12,221,368,"2,271",68,8,7,46,340,2023
27,Aidan O'Connell,LV,QB,11,213,343,"2,218",50,12,7,24,173,2023
28,Mac Jones,NE,QB,11,224,345,"2,120",58,10,12,22,127,2023
