POS,Nombre,Team,POS,GP,CMP,ATT,YDS,LNG,TD,INT,SACK,SYL,Season
29,Kenny Pickett,PIT,QB,12,201,324,"2,070",72,6,4,23,173,2023
30,Jake Browning,CIN,QB,9,171,243,"1,936",80,12,7,24,169,2023
31,Will Levis,TEN,QB,9,149,255,"1,808",61,8,4,28,185,2023
32,Kyler Murray,ARI,QB,8,176,268,"1,799",48,10,5,18,119,2023
33,Joe Flacco,CLE,QB,5,123,204,"1,616",75,13,8,8,57,2023
33,Ryan Tannehill,TEN,QB,10,149,230,"1,616",70,4,7,32,230,2023
35,Tyrod Taylor,NYG,QB,11,116,180,"1,341",80,5,3,17,94,2023
36,Nick Mullens,MIN,QB,5,100,148,"1,306",47,7,8,12,105,2023
37,Bailey Zappe,NE,QB,10,127,212,"1,272",48,6,9,25,191,2023
38,Jimmy Garoppolo,LV,QB,7,110,169,"1,205",32,7,9,14,101,2023
39,Easton Stick,LAC,QB,5,111,174,"1,129",79,3,1,14,122,2023
40,Deshaun Watson,CLE,QB,6,105,171,"1,115",59,7,4,17,85,2023
41,Tommy DeVito,NYG,QB,9,114,178,"1,101",41,8,3,37,196,2023
42,Daniel Jones,NYG,QB,6,108,160,909,58,2,6,30,167,2023
43,Taylor Heinicke,ATL,QB,5,74,136,890,75,5,4,8,47,2023
44,Tyson Bagent,CHI,QB,5,94,143,859,41,3,6,5,35,2023
45,Trevor Siemian,NYJ,QB,5,86,153,724,30,2,4,8,40,2023
46,Mason Rudolph,PIT,QB,4,55,74,719,86,3,0,6,43,2023
47,PJ Walker,CLE,QB,6,54,111,674,58,1,5,11,90,2023
48,Mitchell Trubisky,PIT,QB,5,67,107,632,26,4,5,7,42,2023
49,Anthony Richardson,IND,QB,4,50,84,577,39,3,1,7,29,2023
50,Drew Lock,SEA,QB,4,48,76,543,51,3,3,6,26,2023
51,Jarrett Stidham,DEN,QB,3,40,66,496,54,2,1,7,46,2023
52,Dorian Thompson-Robinson,CLE,QB,8,60,112,440,23,1,4,6,60,2023
53,Andy Dalton,CAR,QB,3,34,58,361,47,2,0,3,27,2023
54,Tim Boyle,NYJ,QB,3,48,77,360,36,1,4,9,64,2023
55,C.J. Beathard,JAX,QB,7,40,53,349,48,1,0,6,27,2023
56,Sam Darnold,SF,QB,10,28,46,297,48,2,1,6,40,2023
57,Case Keenum,HOU,QB,2,34,53,291,41,1,3,6,60,2023
58,Jameis Winston,NO,QB,7,25,47,264,30,2,3,2,13,2023
59,Brian Hoyer,LV,QB,3,23,42,231,48,0,2,1,8,2023
60,Jacoby Brissett,WSH,QB,3,18,23,224,48,3,0,0,0,2023
61,Tyler Huntley,BAL,QB,5,21,37,203,27,3,0,4,28,2023
62,Blaine Gabbert,KC,QB,2,18,35,185,37,0,3,1,9,2023
63,Davis Mills,HOU,QB,6,18,39,173,19,2,0,2,13,2023
64,Brett Rypien,LAR,QB,2,18,38,172,34,0,1,2,18,2023
65,Jaren Hall,MIN,QB,3,13,20,168,47,0,1,4,28,2023
66,Jeff Driskel,CLE,QB,1,13,26,166,31,2,2,3,26,2023
67,Marcus Mariota,PHI,QB,3,15,23,164,22,1,1,3,11,2023
68,Carson Wentz,LAR,QB,2,17,24,163,29,2,1,2,14,2023
69,Cooper Rush,DAL,QB,7,18,24,144,29,0,1,1,8,2023
70,Taysom Hill,NO,QB,16,6,11,83,44,1,0,2,4,2023
71,Mike White,MIA,QB,6,5,6,74,68,1,1,0,0,2023
71,Malik Willis,TEN,QB,3,4,5,74,48,0,0,4,30,2023
73,Clayton Tune,ARI,QB,7,12,21,62,14,0,2,7,41,2023
74,Keenan Allen,LAC,WR,13,1,2,49,49,1,0,0,0,2023
75,Sean Clifford,GB,QB,2,1,1,37,37,0,0,0,0,2023
76,Jalen Reeves-Maybin,DET,LB,17,1,1,31,31,0,0,0,0,2023
77,Braden Mann,PHI,P,15,1,1,28,28,0,0,0,0,2023
78,Logan Woodside,ATL,QB,1,3,4,27,12,0,1,1,7,2023
79,Drake London,ATL,WR,16,1,1,22,22,0,0,0,0,2023
80,AJ McCarron,CIN,QB,2,4,5,19,10,0,0,1,9,2023
81,Thomas Morstead,NYJ,P,17,1,1,18,18,0,0,0,0,2023
82,Kenneth Gainwell,PHI,RB,16,1,1,17,17,0,0,0,0,2023
83,Derrick Henry,TEN,RB,17,2,3,14,12,2,0,0,0,2023
83,Dontayvion Wicks,GB,WR,15,1,1,14,14,0,0,0,0,2023
85,Logan Cooke,JAX,P,17,1,1,13,13,0,0,0,0,2023
86,Jakobi Meyers,LV,WR,16,2,3,12,9,1,0,0,0,2023
87,Tommy Townsend,KC,P,17,1,1,11,11,0,0,0,0,2023
88,Johnny Hekker,CAR,P,17,1,1,7,7,0,0,0,0,2023
89,Devin Singletary,HOU,RB,17,1,1,6,6,1,0,0,0,2023
90,Jerick McKinnon,KC,RB,12,1,1,4,4,1,0,0,0,2023
90,Dyami Brown,WSH,WR,17,1,1,4,4,0,0,0,0,2023
92,Aaron Rodgers,NYJ,QB,1,0,1,0,0,0,0,1,10,2023
92,DeAndre Hopkins,TEN,WR,17,0,1,0,0,0,0,0,0,2023
92,Nathan Peterman,CHI,QB,2,0,0,0,0,0,0,1,5,2023
92,Tyler Boyd,CIN,WR,17,0,1,0,0,0,1,0,0,2023
92,Tanner Hudson,CIN,TE,12,0,0,0,0,0,0,1,4,2023
92,Jonnu Smith,ATL,TE,17,0,1,0,0,0,0,0,0,2023
92,Chris Godwin,TB,WR,17,0,1,0,0,0,0,0,0,2023
92,Parris Campbell,NYG,WR,12,0,0,0,0,0,0,1,8,2023
92,Deebo Samuel,SF,WR,15,0,1,0,0,0,0,0,0,2023
92,Kyle Trask,TB,QB,2,0,1,0,0,0,0,0,0,2023
92,Cedrick Wilson,MIA,WR,15,0,0,0,0,0,0,1,7,2023
92,Josh Jacobs,LV,RB,13,0,0,0,0,0,0,1,4,2023
92,Cam Akers,MIN,RB,7,0,0,0,0,0,0,1,7,2023
92,Malik Cunningham,NE,WR,2,0,0,0,0,0,0,1,5,2023
92,Kadarius Toney,KC,WR,13,0,1,0,0,0,0,0,0,2023
92,DeeJay Dallas,SEA,RB,17,0,0,0,0,0,0,1,0,2023
92,Connor Heyward,PIT,TE,17,0,1,0,0,0,0,0,0,2023
92,Justin Jefferson,MIN,WR,10,0,1,0,0,0,0,0,0,2023
92,Tank Dell,HOU,WR,11,0,0,0,0,0,0,1,1,2023
92,Amon-Ra St. Brown,DET,WR,16,0,0,0,0,0,0,1,8,2023
92,De'Von Achane,MIA,RB,11,0,0,0,0,0,0,1,6,2023
92,Garrett Wilson,NYJ,WR,17,0,1,0,0,0,0,0,0,2023
114,Christian Kirk,JAX,WR,12,1,2,-1,0,0,0,0,0,2023
115,Ja'Marr Chase,CIN,WR,16,1,1,-7,-7,0,0,0,0,2023
