POS,Nombre,Team,POS,GP,ATT,YDS,LNG,BIG,TD,FUM,LST,FD,Season
106,Kirk Cousins ,MIN,QB,16,29,115,29,1,1,2,0,8,2021
107,Derek Carr ,LV,QB,17,40,108,22,1,0,4,0,9,2021
108,Qadree Ollison ,ATL,RB,8,21,105,19,0,1,1,1,7,2021
109,Wayne Gallman ,ATL/MIN,RB,8,28,104,17,0,0,0,0,5,2021
110,Joshua Kelley ,LAC,RB,10,33,102,14,0,0,1,1,5,2021
111,Aaron Rodgers ,GB,QB,16,33,101,18,0,3,2,0,10,2021
111,Le'Veon Bell ,BAL/TB,RB,8,39,101,12,0,2,0,0,9,2021
111,Austin Walter ,NYJ,RB,4,26,101,14,0,1,0,0,5,2021
111,Marlon Mack ,IND,RB,6,28,101,22,1,0,0,0,6,2021
115,Elijhaa Penny ,NYG,RB,17,24,99,12,0,1,0,0,9,2021
116,Benny Snell Jr.,PIT,RB,17,36,98,9,0,0,0,0,2,2021
117,Tyreek Hill ,KC,WR,17,9,96,33,1,0,0,0,4,2021
117,Chase Claypool ,PIT,WR,15,14,96,25,1,0,0,0,7,2021
119,DeAndre Carter ,WSH,WR,17,10,89,27,1,0,1,0,4,2021
119,Patrick Taylor Jr.,GB,RB,9,23,89,12,0,1,0,0,5,2021
121,Marcus Mariota ,LV,QB,10,13,87,31,1,1,1,0,6,2021
121,Jared Goff ,DET,QB,14,17,87,26,1,0,3,2,4,2021
121,Larry Rountree III,LAC,RB,12,36,87,13,0,1,0,0,5,2021
124,Matt Ryan ,ATL,QB,17,40,82,17,0,1,6,1,9,2021
125,Tom Brady ,TB,QB,17,28,81,13,0,2,1,1,14,2021
126,Ryquell Armstead ,JAX,RB,2,15,80,26,1,0,0,0,3,2021
127,Jonathan Williams ,WSH,RB,5,17,79,23,1,1,0,0,7,2021
128,Chris Evans ,CIN,RB,14,17,77,13,0,0,0,0,3,2021
129,Andy Dalton ,CHI,QB,8,16,76,14,0,0,0,0,2,2021
129,CeeDee Lamb ,DAL,WR,16,9,76,33,1,0,0,0,4,2021
129,Rondale Moore ,ARI,WR,14,18,76,26,1,0,0,0,2,2021
132,Jermar Jefferson ,DET,RB,7,15,74,28,1,2,0,0,4,2021
133,Jacoby Brissett ,MIA,QB,11,19,70,19,0,1,2,0,9,2021
134,JaMycal Hasty ,SF,RB,11,16,68,21,1,1,0,0,6,2021
135,Jake Fromm ,NYG,QB,3,8,65,27,1,0,0,0,4,2021
136,Jerick McKinnon ,KC,RB,13,12,62,18,0,0,0,0,2,2021
137,Kene Nwangwu ,MIN,RB,11,13,61,19,0,0,0,0,3,2021
137,Amon-Ra St. Brown,DET,WR,17,7,61,26,1,1,0,0,2,2021
139,Dee Eskridge ,SEA,WR,10,4,59,30,1,0,0,0,2,2021
140,Mason Rudolph ,PIT,QB,2,5,53,26,1,0,0,0,3,2021
140,Drew Lock ,DEN,QB,6,10,53,23,1,2,1,1,5,2021
140,Diontae Johnson ,PIT,WR,16,5,53,25,1,0,0,0,2,2021
143,Jimmy Garoppolo ,SF,QB,15,38,51,7,0,3,4,1,15,2021
143,Trayveon Williams ,CIN,RB,5,15,51,10,0,0,0,0,4,2021
143,Jason Huntley ,PHI,RB,1,13,51,18,0,0,0,0,2,2021
146,Devin Duvernay ,BAL,WR,16,7,50,19,0,0,0,0,3,2021
147,DJ Moore ,CAR,WR,17,8,48,14,0,0,0,0,4,2021
148,Isaiah McKenzie ,BUF,WR,15,9,47,10,0,1,0,0,5,2021
149,Mecole Hardman ,KC,WR,17,8,46,24,1,0,1,1,2,2021
150,Ty Montgomery II,NO,WR,14,15,44,9,0,0,0,0,2,2021
150,Michael Pittman Jr.,IND,WR,17,5,44,25,1,0,0,0,1,2021
150,Davis Mills ,HOU,QB,13,18,44,11,0,0,1,0,5,2021
153,Matthew Stafford ,LAR,QB,17,32,43,12,0,0,2,0,8,2021
153,Scotty Miller ,TB,WR,9,2,43,33,1,1,0,0,2,2021
155,Geno Smith ,SEA,QB,4,9,42,12,0,1,0,0,3,2021
156,Laviska Shenault Jr.,JAX,WR,16,11,41,11,0,0,0,0,2,2021
156,Deonte Harty ,NO,WR,13,5,41,22,1,0,0,0,1,2021
158,Jarvis Landry ,CLE,WR,12,6,40,16,0,2,1,0,4,2021
158,Jalen Richard ,LV,RB,10,9,40,23,1,0,0,0,3,2021
158,Jonnu Smith ,NE,TE,16,9,40,9,0,0,0,0,2,2021
161,Anthony Schwartz ,CLE,WR,14,6,39,17,0,0,0,0,4,2021
162,Colt McCoy ,ARI,QB,8,22,37,11,0,0,2,0,6,2021
162,J.J. Taylor ,NE,RB,5,19,37,15,0,2,0,0,3,2021
164,Robbie Chosen ,CAR,WR,17,3,36,30,1,0,0,0,1,2021
164,Kalen Ballage ,PIT,RB,17,12,36,13,0,0,0,0,2,2021
166,Mike Boone ,DEN,RB,8,4,35,16,0,0,0,0,2,2021
167,Jalen Guyton ,LAC,WR,16,7,34,21,1,0,1,0,2,2021
167,C.J. Ham ,MIN,FB,17,7,34,30,1,0,0,0,3,2021
169,Mike Glennon ,NYG,QB,6,7,33,13,0,1,2,0,2,2021
169,Jonathan Ward ,ARI,RB,13,9,33,7,0,0,0,0,3,2021
171,Allen Lazard ,GB,WR,15,3,32,14,0,0,0,0,2,2021
171,Freddie Swain ,SEA,WR,17,5,32,11,0,0,0,0,2,2021
171,Darnell Mooney ,CHI,WR,17,6,32,15,0,1,0,0,2,2021
171,Ashton Dulin ,IND,WR,17,3,32,37,1,0,0,0,1,2021
171,Jalen Reagor ,PHI,WR,17,10,32,12,0,0,0,0,3,2021
176,Emmanuel Sanders ,BUF,WR,14,2,31,24,1,0,0,0,2,2021
176,Keith Smith ,ATL,FB,17,9,31,8,0,0,0,0,3,2021
176,La'Mical Perine ,NYJ,RB,4,8,31,14,0,0,0,0,1,2021
176,Deon Jackson ,IND,RB,9,13,31,10,0,1,0,0,2,2021
180,Josh Johnson ,BAL/NYJ,QB,4,9,28,11,0,0,2,0,1,2021
180,Kalif Raymond ,DET,WR,16,4,28,13,0,0,0,0,2,2021
180,C.J. Moore ,DET,S,17,1,28,28,1,0,0,0,1,2021
183,Jordan Love ,GB,QB,6,12,27,10,0,0,1,0,1,2021
184,Michael Burton ,KC,FB,16,8,26,7,0,1,0,0,8,2021
185,Mitchell Trubisky ,BUF,QB,6,13,24,22,1,1,0,0,3,2021
185,Demetric Felton ,CLE,RB,16,7,24,12,0,0,0,0,0,2021
185,Greg Dortch ,ARI,WR,5,1,24,24,1,0,0,0,1,2021
188,Jason Cabinda ,DET,FB,14,3,23,21,1,0,0,0,2,2021
189,Case Keenum ,CLE,QB,7,12,22,10,0,0,0,0,6,2021
189,Kyle Juszczyk ,SF,FB,17,8,22,6,0,1,0,0,3,2021
189,Tyler Boyd ,CIN,WR,16,2,22,14,0,0,0,0,1,2021
192,Tavon Austin ,JAX,WR,13,3,21,8,0,0,0,0,1,2021
192,Brandin Cooks ,HOU,WR,16,2,21,16,0,0,0,0,1,2021
192,Zach Pascal ,IND,WR,16,2,21,12,0,0,0,0,0,2021
192,Gardner Minshew ,PHI,QB,4,9,21,9,0,0,0,0,2,2021
192,Alex Armah ,WSH/NO,RB,11,5,21,9,0,0,0,0,4,2021
192,Ja'Marr Chase ,CIN,WR,17,7,21,10,0,0,0,0,2,2021
198,Trevor Siemian ,NO,QB,6,9,20,17,0,1,1,0,2,2021
198,George Kittle ,SF,TE,14,3,20,9,0,0,0,0,0,2021
198,Gerald Everett ,SEA,TE,15,3,20,13,0,0,0,0,2,2021
198,Van Jefferson ,LAR,WR,17,2,20,10,0,0,0,0,1,2021
202,Andre Roberts ,HOU/LAC,WR,16,3,19,9,0,0,0,0,0,2021
203,Cooper Kupp ,LAR,WR,17,4,18,18,0,0,0,0,1,2021
204,Albert Wilson ,MIA,WR,14,4,17,14,0,0,0,0,1,2021
204,Brandon Aiyuk ,SF,WR,17,5,17,8,0,0,0,0,0,2021
206,Dwayne Washington ,NO,RB,14,4,16,5,0,0,0,0,0,2021
206,John Ross ,NYG,WR,10,1,16,16,0,0,0,0,1,2021
208,Ray-Ray McCloud III,PIT,WR,16,2,15,10,0,0,0,0,0,2021
209,Odell Beckham Jr.,LAR/CLE,WR,14,2,14,10,0,0,0,0,1,2021
209,Sean Mannion ,MIN,QB,1,2,14,11,0,0,0,0,2,2021
209,Sean Chandler ,CAR,S,15,1,14,14,0,0,0,0,1,2021
209,Equanimeous St. Brown,GB,WR,13,3,14,13,0,0,0,0,2,2021
209,Cyril Grayson Jr.,TB,WR,5,1,14,14,0,0,0,0,1,2021
209,Justin Jefferson ,MIN,WR,17,6,14,11,0,0,0,0,1,2021
215,Tim Boyle ,DET,QB,5,2,13,14,0,0,1,0,1,2021
215,PJ Walker ,CAR,QB,5,7,13,13,0,0,3,1,2,2021
217,Terry McLaurin ,WSH,WR,17,1,12,12,0,0,0,0,1,2021
218,Nelson Agholor ,NE,WR,15,3,11,6,0,0,0,0,0,2021
218,Kyle Allen ,WSH,QB,2,2,11,11,0,0,0,0,1,2021
218,Curtis Samuel ,WSH,WR,5,4,11,8,0,0,0,0,0,2021
218,Buddy Howell ,LAR,RB,10,5,11,4,0,0,0,0,0,2021
218,Christian Kirk ,ARI,WR,17,1,11,11,0,0,0,0,1,2021
218,Cedrick Wilson Jr.,DAL,WR,16,2,11,6,0,0,0,0,1,2021
218,Amari Rodgers ,GB,WR,16,1,11,11,0,0,0,0,1,2021
218,Jaelon Darden ,TB,WR,9,1,11,11,0,0,0,0,1,2021
218,Tommy Tremble ,CAR,TE,16,3,11,7,0,1,0,0,1,2021
218,Mekhi Sargent ,LAR/JAX/TEN,RB,7,5,11,3,0,0,0,0,1,2021
228,Mike Evans ,TB,WR,16,1,10,10,0,0,0,0,1,2021
228,Blake Bell ,KC,TE,16,4,10,3,0,0,0,0,4,2021
228,K.J. Osborn ,MIN,WR,17,1,10,10,0,0,0,0,1,2021
228,A.J. Brown ,TEN,WR,13,2,10,7,0,0,0,0,1,2021
232,Tyler Lockett ,SEA,WR,16,2,9,7,0,0,0,0,0,2021
232,Chester Rogers ,TEN,WR,16,1,9,9,0,0,0,0,0,2021
232,Jakobi Meyers ,NE,WR,17,1,9,9,0,0,0,0,0,2021
232,Sam Ehlinger ,IND,QB,3,3,9,9,0,0,0,0,1,2021
232,Gunner Olszewski ,NE,WR,16,1,9,9,0,0,0,0,0,2021
237,Nick Foles ,CHI,QB,1,4,8,8,0,0,0,0,1,2021
237,Gabe Nabers ,LAC,FB,10,3,8,4,0,0,0,0,1,2021
239,Cam Sims ,WSH,WR,14,1,7,7,0,0,0,0,0,2021
239,Tremon Smith ,HOU,CB,17,1,7,7,0,0,0,0,0,2021
239,Preston Williams ,MIA,WR,8,1,7,7,0,0,0,0,0,2021
242,Dallin Leavitt ,LV,S,16,2,6,4,0,0,0,0,2,2021
242,David Blough ,DET,QB,1,1,6,6,0,0,0,0,0,2021
242,Khari Blasingame ,TEN,FB,11,3,6,3,0,0,1,1,1,2021
242,Feleipe Franks ,ATL,TE,9,3,6,4,0,0,0,0,0,2021
242,Ian Book ,NO,QB,1,3,6,3,0,0,0,0,1,2021
242,DK Metcalf ,SEA,WR,17,1,6,6,0,0,0,0,0,2021
242,Kadarius Toney ,NYG,WR,10,3,6,7,0,0,0,0,0,2021
242,Joshua Palmer ,LAC,WR,17,1,6,6,0,0,0,0,0,2021
250,Ben Roethlisberger ,PIT,QB,16,20,5,8,0,1,2,0,3,2021
250,Johnny Stanton IV,CLE,FB,4,3,5,3,0,0,0,0,2,2021
250,Adam Prentice ,NO,FB,7,3,5,2,0,0,0,0,2,2021
250,Jake Funk ,LAR,RB,10,2,5,6,0,0,0,0,0,2021
250,Marquise Brown ,BAL,WR,16,1,5,5,0,0,0,0,1,2021
255,DeSean Jackson ,LV/LAR,WR,16,1,4,4,0,0,0,0,0,2021
255,Zach Ertz ,ARI/PHI,TE,17,1,4,4,0,0,0,0,0,2021
255,Reggie Bonnafon ,CAR,RB,4,1,4,4,0,0,0,0,0,2021
255,Ryan Nall ,CHI,FB,9,1,4,4,0,0,0,0,0,2021
255,Andrew Wingard ,JAX,S,15,1,4,4,0,0,0,0,1,2021
255,Dawson Knox ,BUF,TE,15,0,4,4,0,0,0,0,0,2021
255,Braden Mann ,NYJ,P,10,1,4,4,0,0,0,0,0,2021
262,Joe Flacco ,NYJ,QB,2,2,3,2,0,0,0,0,1,2021
262,Travis Kelce ,KC,TE,16,2,3,4,0,1,0,0,1,2021
262,Chris Conley ,HOU,WR,16,1,3,3,0,0,0,0,1,2021
262,Durham Smythe ,MIA,TE,17,2,3,2,0,0,0,0,2,2021
262,Zay Jones ,LV,WR,17,2,3,4,0,0,0,0,0,2021
262,Jordan Akins ,HOU,TE,13,1,3,3,0,0,0,0,1,2021
262,Hunter Renfrow ,LV,WR,17,3,3,5,0,0,0,0,0,2021
262,Stanley Morgan Jr.,CIN,WR,17,1,3,3,0,0,0,0,0,2021
262,Nathan Cottrell ,JAX,RB,4,1,3,3,0,0,0,0,0,2021
262,Maurice Ffrench ,LAC,WR,3,1,3,3,0,0,0,0,0,2021
262,Reggie Gilliam ,BUF,FB,16,3,3,2,0,0,0,0,0,2021
262,Quez Watkins ,PHI,WR,17,1,3,3,0,0,0,0,0,2021
262,Cam Akers ,LAR,RB,1,5,3,2,0,0,0,0,0,2021
262,Jerry Jeudy ,DEN,WR,10,2,3,3,0,0,0,0,0,2021
262,Anthony McFarland Jr.,PIT,RB,2,3,3,3,0,0,0,0,0,2021
262,Jaylen Waddle ,MIA,WR,16,2,3,2,0,1,0,0,1,2021
278,Olamide Zaccheaus ,ATL,WR,17,1,2,2,0,0,0,0,1,2021
279,Kenny Stills ,NO,WR,13,1,1,1,0,0,0,0,0,2021
279,Michael Palardy ,MIA,P,17,1,1,1,0,0,0,0,0,2021
279,Derek Watt ,PIT,FB,17,1,1,1,0,0,0,0,1,2021
279,David Njoku ,CLE,TE,16,1,1,1,0,0,0,0,0,2021
279,Dax Milne ,WSH,WR,13,1,1,1,0,0,0,0,0,2021
284,Andy Lee ,ARI,P,16,1,0,0,0,0,3,1,0,2021
284,Chad Henne ,KC,QB,4,8,0,4,0,0,2,0,0,2021
284,Johnny Hekker ,LAR,P,17,1,0,0,0,0,1,1,0,2021
284,Andy Janovich ,CLE,FB,13,2,0,1,0,1,0,0,1,2021
284,Clayton Fejedelem ,MIA,S,16,1,0,0,0,0,1,1,0,2021
284,Mark Andrews ,BAL,TE,17,1,0,0,0,0,0,0,0,2021
284,Bryan Edwards ,LV,WR,17,1,0,0,0,0,0,0,0,2021
284,Cole Kmet ,CHI,TE,17,1,0,0,0,0,0,0,0,2021
292,Marquise Goodwin ,CHI,WR,14,2,-1,1,0,0,0,0,0,2021
292,Brandon Allen ,CIN,QB,6,7,-1,3,0,0,0,0,1,2021
292,Mike White ,NYJ,QB,4,5,-1,2,0,0,0,0,2,2021
292,John Wolford ,LAR,QB,3,2,-1,0,0,0,0,0,0,2021
292,Jeff Smith ,NYJ,WR,12,1,-1,-1,0,0,0,0,0,2021
297,Chase Daniel ,LAC,QB,1,2,-2,-1,0,0,0,0,0,2021
298,Breshad Perriman ,TB,WR,6,1,-3,-3,0,0,0,0,0,2021
298,Evan Engram ,NYG,TE,15,1,-3,-3,0,0,0,0,0,2021
298,Alex Bachman ,NYG,WR,3,1,-3,-3,0,0,0,0,0,2021
301,Dyami Brown ,WSH,WR,15,1,-4,0,0,0,0,0,0,2021
302,Logan Woodside ,TEN,QB,5,6,-6,-1,0,0,0,0,0,2021
303,Blaine Gabbert ,TB,QB,6,9,-7,0,0,0,0,0,0,2021
304,Brian Hoyer ,NE,QB,5,11,-8,2,0,0,0,0,1,2021
304,Cooper Rush ,DAL,QB,5,9,-8,2,0,0,0,0,0,2021
306,Darius Slayton ,NYG,WR,13,1,-13,-13,0,0,0,0,0,2021
