POS,Nombre,Team,POS,GP,ATT,YDS,LNG,BIG,TD,FUM,LST,FD,Season
1,Jonathan Taylor ,IND,RB,17,332,"1,811",83,14,18,3,2,107,2021
2,Nick Chubb ,CLE,RB,14,228,"1,259",70,12,8,2,1,61,2021
3,Joe Mixon ,CIN,RB,16,292,"1,205",32,6,13,1,1,60,2021
4,Najee Harris ,PIT,RB,17,307,"1,200",37,6,7,0,0,62,2021
5,Dalvin Cook ,MIN,RB,13,249,"1,159",66,9,6,3,2,57,2021
6,Antonio Gibson ,WSH,RB,16,258,"1,037",27,4,7,5,3,65,2021
7,Ezekiel Elliott ,DAL,RB,17,237,"1,002",47,3,10,1,1,55,2021
8,Elijah Mitchell ,SF,RB,11,207,963,39,6,5,0,0,47,2021
9,Derrick Henry ,TEN,RB,8,219,937,76,3,10,1,0,49,2021
10,Damien Harris ,NE,RB,15,202,929,64,8,15,2,2,55,2021
11,Melvin Gordon III,DEN,RB,16,203,918,70,3,8,3,3,48,2021
12,Austin Ekeler ,LAC,RB,16,206,911,28,3,12,0,0,53,2021
13,Javonte Williams ,DEN,RB,17,203,903,49,6,4,2,1,52,2021
14,Alvin Kamara ,NO,RB,13,240,898,30,3,4,0,0,42,2021
15,Josh Jacobs ,LV,RB,15,217,872,28,2,9,2,2,45,2021
16,Devin Singletary ,BUF,RB,17,188,870,46,6,7,2,0,44,2021
17,David Montgomery ,CHI,RB,13,225,849,41,5,7,1,1,55,2021
18,Sony Michel ,LAR,RB,17,208,845,39,2,4,1,1,49,2021
19,AJ Dillon ,GB,RB,17,187,803,36,2,5,1,1,50,2021
20,Aaron Jones ,GB,RB,15,171,799,57,5,4,1,1,37,2021
21,Jalen Hurts ,PHI,QB,15,139,784,31,7,10,4,1,56,2021
22,Lamar Jackson ,BAL,QB,12,133,767,31,5,2,4,2,48,2021
23,Josh Allen ,BUF,QB,17,122,763,34,9,6,5,2,53,2021
24,Miles Sanders ,PHI,RB,12,137,754,38,7,0,1,1,33,2021
25,James Conner ,ARI,RB,15,202,752,35,3,15,2,0,53,2021
26,Rashaad Penny ,SEA,RB,10,119,749,62,11,6,0,0,28,2021
27,Tony Pollard ,DAL,RB,15,130,719,58,4,2,0,0,35,2021
28,Michael Carter ,NYJ,RB,14,147,639,55,3,4,0,0,29,2021
29,Cordarrelle Patterson ,ATL,RB,16,153,618,39,2,6,1,0,29,2021
30,D'Andre Swift ,DET,RB,13,151,617,57,3,5,0,0,28,2021
31,Myles Gaskin ,MIA,RB,17,173,612,30,2,3,2,1,25,2021
31,Chuba Hubbard ,CAR,RB,17,172,612,26,3,5,1,1,36,2021
33,Rhamondre Stevenson ,NE,RB,12,133,606,21,1,5,1,0,33,2021
34,Jamaal Williams ,DET,RB,13,153,601,20,1,3,1,0,42,2021
35,Devontae Booker ,NYG,RB,16,145,593,31,3,2,0,0,31,2021
35,Saquon Barkley ,NYG,RB,13,162,593,41,3,2,1,1,27,2021
37,Chase Edmonds ,ARI,RB,12,116,592,54,3,2,0,0,32,2021
38,Devonta Freeman ,BAL,RB,16,133,576,32,4,5,0,0,31,2021
39,D'Onta Foreman ,TEN,RB,9,133,566,35,4,3,2,1,22,2021
40,Darrel Williams ,KC,RB,17,144,558,21,1,6,0,0,40,2021
41,Mark Ingram II,HOU/NO,RB,14,160,554,28,2,2,1,1,22,2021
42,D'Ernest Johnson ,CLE,RB,17,100,534,30,4,3,0,0,24,2021
43,Clyde Edwards-Helaire ,KC,RB,10,119,517,17,0,4,2,2,21,2021
44,Mike Davis ,ATL,RB,17,138,503,18,0,3,2,1,21,2021
45,Latavius Murray ,BAL,RB,14,119,501,46,3,6,0,0,36,2021
46,Alexander Mattison ,MIN,RB,16,134,491,48,2,3,1,1,28,2021
47,Khalil Herbert ,CHI,RB,17,103,433,29,4,2,0,0,24,2021
48,Ronald Jones ,TB,RB,16,101,428,30,1,4,2,2,25,2021
49,Rex Burkhead ,HOU,RB,16,122,427,36,2,3,1,0,30,2021
50,Kyler Murray ,ARI,QB,14,88,423,57,1,5,12,0,25,2021
51,Jordan Howard ,PHI,RB,7,86,406,25,1,3,0,0,24,2021
52,Kareem Hunt ,CLE,RB,8,78,386,33,2,5,0,0,22,2021
53,Patrick Mahomes ,KC,QB,17,66,381,32,4,2,4,2,25,2021
54,Taysom Hill ,NO,QB,12,70,374,44,3,5,1,0,26,2021
55,Boston Scott ,PHI,RB,16,87,373,23,2,7,1,1,24,2021
56,Deebo Samuel ,SF,WR,16,59,365,49,5,8,0,0,21,2021
57,Justin Jackson ,LAC,RB,14,68,364,75,2,2,1,1,18,2021
58,Tevin Coleman ,NYJ,RB,11,84,356,20,1,0,0,0,19,2021
59,Dontrell Hilliard ,TEN,RB,8,56,350,68,2,2,1,1,15,2021
60,Zack Moss ,BUF,RB,13,96,345,17,0,4,0,0,22,2021
61,Trevor Lawrence ,JAX,QB,17,73,334,26,1,2,3,0,21,2021
62,Duke Johnson ,MIA,RB,5,71,330,27,1,3,0,0,18,2021
63,Taylor Heinicke ,WSH,QB,16,60,313,38,2,1,4,0,20,2021
64,Justin Herbert ,LAC,QB,17,63,302,36,1,3,0,0,28,2021
65,Jeff Wilson Jr.,SF,RB,9,79,294,17,0,2,1,0,19,2021
65,Tyler Huntley ,BAL,QB,7,47,294,21,1,2,1,1,22,2021
67,Kenneth Gainwell ,PHI,RB,16,68,291,18,0,5,1,1,19,2021
68,Nyheim Hines ,IND,RB,17,56,276,34,2,2,0,0,15,2021
69,Ryan Tannehill ,TEN,QB,17,55,270,28,2,7,4,1,33,2021
70,Jaret Patterson ,WSH,RB,17,68,266,13,0,2,1,0,15,2021
71,Derrick Gore ,KC,RB,11,51,256,51,2,2,0,0,12,2021
72,Phillip Lindsay ,HOU/MIA,RB,14,88,249,35,1,1,0,0,11,2021
73,Samaje Perine ,CIN,RB,16,55,246,46,2,1,0,0,11,2021
74,Ty Johnson ,NYJ,RB,16,61,238,24,2,2,1,1,13,2021
75,Cam Newton ,CAR,QB,8,47,230,33,2,5,4,1,20,2021
75,Craig Reynolds ,DET,RB,5,55,230,35,2,0,0,0,11,2021
77,David Johnson ,HOU,RB,13,67,228,15,0,0,1,1,7,2021
78,Brandon Bolden ,NE,RB,17,44,226,24,2,1,1,0,12,2021
79,Sam Darnold ,CAR,QB,12,48,222,30,2,5,4,2,21,2021
80,Carson Wentz ,IND,QB,17,57,215,18,0,1,4,1,21,2021
81,Peyton Barber ,LV,RB,10,55,212,27,1,2,2,0,12,2021
82,Ty'Son Williams ,BAL,RB,13,35,185,35,2,1,1,0,8,2021
82,Zach Wilson ,NYJ,QB,13,29,185,52,3,4,1,0,10,2021
84,Russell Wilson ,SEA,QB,14,43,183,17,0,2,2,0,17,2021
85,Ke'Shawn Vaughn ,TB,RB,12,36,180,55,1,2,0,0,9,2021
86,Travis Homer ,SEA,RB,14,21,177,73,2,1,0,0,7,2021
87,Royce Freeman ,HOU/CAR,RB,15,56,169,13,0,0,0,0,8,2021
88,Trey Lance ,SF,QB,6,38,168,15,0,1,0,0,8,2021
89,Trey Sermon ,SF,RB,9,41,167,16,0,1,0,0,9,2021
90,Ameer Abdullah ,MIN/CAR,RB,17,51,166,15,0,0,0,0,8,2021
91,Damien Williams ,CHI,RB,12,40,164,23,1,2,0,0,11,2021
92,Tyrod Taylor ,HOU,QB,6,19,151,30,2,3,3,0,7,2021
93,Salvon Ahmed ,MIA,RB,12,54,149,16,0,0,0,0,8,2021
94,Dak Prescott ,DAL,QB,16,48,146,21,1,1,9,3,7,2021
95,Tony Jones Jr.,NO,RB,11,54,142,11,0,0,0,0,7,2021
96,Corey Clement ,DAL,RB,17,33,140,38,1,0,0,0,7,2021
97,DeeJay Dallas ,SEA,RB,17,33,138,15,0,2,0,0,10,2021
98,Dare Ogunbowale ,JAX,RB,17,43,137,12,0,1,0,0,5,2021
99,Mac Jones ,NE,QB,17,44,129,13,0,0,3,1,22,2021
100,Tua Tagovailoa ,MIA,QB,13,42,128,23,1,3,3,0,13,2021
101,Kendrick Bourne ,NE,WR,17,12,125,18,0,0,0,0,7,2021
101,Matt Breida ,BUF,RB,9,26,125,28,1,1,1,1,5,2021
103,Godwin Igwebuike ,DET,RB,17,18,118,42,1,1,2,2,7,2021
103,Joe Burrow ,CIN,QB,16,40,118,12,0,2,1,0,14,2021
103,Eno Benjamin ,ARI,RB,9,34,118,21,1,1,0,0,4,2021
