POS,Nombre,Team,POS,GP,REC,TGTS,YDS,TD,LNG,BIG,FUM,LST,YAC,FD,Season 
314,Andre Roberts ,HOU/LAC,WR,16,1,2,35,0,35,1,0,0,16,1,2021
314,Tyler Davis ,GB,TE,14,4,5,35,0,22,1,0,0,13,1,2021
316,Trenton Irwin ,CIN,WR,7,2,5,34,0,25,1,0,0,28,1,2021
316,Dominique Dafney ,GB,TE,10,2,4,34,0,26,1,0,0,31,2,2021
316,Jonathan Ward ,ARI,RB,13,3,4,34,0,23,1,0,0,26,1,2021
316,Seth Williams ,DEN,WR,2,1,1,34,0,34,1,0,0,4,1,2021
316,Shane Zylstra ,DET,TE,4,3,7,34,0,16,0,0,0,6,2,2021
321,Cody Hollister ,TEN,WR,3,4,7,33,0,14,0,0,0,17,4,2021
321,Cody White ,PIT,WR,15,5,6,33,0,11,0,0,0,14,3,2021
321,Colby Parkinson ,SEA,TE,14,5,8,33,0,12,0,0,0,20,2,2021
324,Josh Gordon ,KC,WR,12,5,14,32,1,11,0,0,0,5,3,2021
325,Michael Burton ,KC,FB,16,3,3,31,0,20,1,0,0,36,2,2021
325,Jeremy Sprinkle ,DAL,TE,17,3,3,31,0,11,0,0,0,19,2,2021
325,Jeff Wilson Jr.,SF,RB,9,7,8,31,0,11,0,0,0,43,1,2021
325,Gunner Olszewski ,NE,WR,16,2,3,31,0,22,1,0,0,14,2,2021
329,Le'Veon Bell ,BAL/TB,RB,8,5,7,30,1,15,0,0,0,26,3,2021
329,Elijhaa Penny ,NYG,RB,17,9,13,30,1,16,0,0,0,34,4,2021
331,Corey Clement ,DAL,RB,17,6,7,29,1,8,0,0,0,17,1,2021
331,Tony Jones Jr.,NO,RB,11,5,8,29,0,19,0,0,0,28,2,2021
333,Jonathan Williams ,WSH,RB,5,4,6,28,0,19,0,0,0,36,2,2021
333,Jake Kumerow ,BUF,WR,15,2,6,28,0,15,0,0,0,7,2,2021
335,Curtis Samuel ,WSH,WR,5,6,9,27,0,10,0,0,0,40,4,2021
335,Sean McKeon ,DAL,TE,9,4,6,27,1,12,0,0,0,10,2,2021
337,Ke'Shawn Vaughn ,TB,RB,12,4,8,26,0,8,0,0,0,14,1,2021
337,Trey Sermon ,SF,RB,9,3,4,26,0,23,1,0,0,18,1,2021
337,Mike Strachan ,IND,WR,6,2,3,26,0,16,0,0,0,0,2,2021
340,Christian Blake ,ATL,WR,16,4,9,25,0,8,0,0,0,2,2,2021
341,Marcus Kemp ,KC,WR,16,2,5,24,0,16,0,0,0,8,1,2021
342,Reggie Gilliam ,BUF,FB,16,3,5,23,0,8,0,0,0,22,0,2021
342,Dazz Newsome ,CHI,WR,3,2,5,23,0,13,0,0,0,15,1,2021
342,Tylan Wallace ,BAL,WR,17,2,6,23,0,18,0,0,0,14,1,2021
342,Jermar Jefferson ,DET,RB,7,4,5,23,0,11,0,0,0,21,2,2021
346,Mike Boone ,DEN,RB,8,2,2,22,0,19,0,0,0,24,1,2021
346,Jack Stoll ,PHI,TE,16,4,5,22,0,9,0,0,0,20,0,2021
348,Wayne Gallman ,ATL/MIN,RB,8,1,3,21,0,21,1,0,0,20,1,2021
348,Garrett Bradbury ,MIN,C,13,1,1,21,0,21,1,0,0,24,1,2021
348,Dezmon Patmon ,IND,WR,8,2,4,21,1,14,0,0,0,3,1,2021
351,Nick Bawden ,NYJ,FB,9,1,1,20,0,20,1,0,0,11,1,2021
352,Jordan Howard ,PHI,RB,7,2,5,19,0,10,0,0,0,14,2,2021
353,David Sills V,NYG,WR,4,2,6,17,0,12,0,0,0,2,1,2021
353,Bobby Price ,DET,CB,15,1,1,17,0,17,0,0,0,8,1,2021
353,Gabe Nabers ,LAC,FB,10,3,3,17,0,8,0,0,0,8,0,2021
356,Cethan Carter ,MIA,TE,16,2,2,16,0,8,0,0,0,8,0,2021
356,Jason Cabinda ,DET,FB,14,4,7,16,1,6,0,0,0,8,2,2021
356,Tyron Billy-Johnson ,LV/JAX,WR,10,2,5,16,0,10,0,0,0,9,1,2021
356,Mitchell Wilcox ,CIN,TE,15,3,5,16,0,8,0,0,0,8,0,2021
356,Ryquell Armstead ,JAX,RB,2,3,4,16,0,9,0,0,0,20,1,2021
356,Adam Prentice ,NO,FB,7,3,3,16,0,10,0,0,0,15,1,2021
362,Derek Watt ,PIT,FB,17,3,3,15,0,9,0,0,0,16,0,2021
362,Greg Dortch ,ARI,WR,5,3,3,15,0,10,0,0,0,31,0,2021
364,Frank Darby ,ATL,WR,10,1,4,14,0,14,0,0,0,11,1,2021
365,Derek Carrier ,LV,TE,5,2,2,13,0,9,0,0,0,6,0,2021
365,Andy Isabella ,ARI,WR,8,1,1,13,0,13,0,0,0,7,1,2021
365,Benny Snell Jr.,PIT,RB,17,2,4,13,0,7,0,0,0,20,0,2021
368,Luke Stocker ,MIN,TE,12,2,2,12,0,7,0,0,0,6,0,2021
368,Dwayne Washington ,NO,RB,14,2,2,12,0,6,0,0,0,10,0,2021
368,Reggie Bonnafon ,CAR,RB,4,2,2,12,0,6,0,0,0,9,1,2021
368,Qadree Ollison ,ATL,RB,8,4,6,12,0,8,0,0,0,7,1,2021
372,Stanley Morgan Jr.,CIN,WR,17,2,4,11,0,8,0,0,0,20,0,2021
372,C.J. Saunders ,CAR,WR,2,2,2,11,0,8,0,0,0,0,1,2021
372,Anthony McFarland Jr.,PIT,RB,2,1,1,11,0,11,0,0,0,11,1,2021
375,Demetrius Harris ,ARI,TE,14,3,6,10,0,7,0,0,0,13,0,2021
375,Jaydon Mickens ,TB/JAX,WR,11,2,3,10,0,12,0,0,0,3,1,2021
375,Cam Akers ,LAR,RB,1,3,3,10,0,6,0,0,0,4,0,2021
375,Tarik Black ,NYJ,WR,1,1,2,10,0,10,0,0,0,0,1,2021
379,Andy Janovich ,CLE,FB,13,3,4,9,0,3,0,0,0,4,1,2021
379,Austin Walter ,NYJ,RB,4,2,3,9,0,11,0,0,0,13,1,2021
379,Brycen Hopkins ,LAR,TE,5,1,1,9,0,9,0,0,0,6,1,2021
379,Kene Nwangwu ,MIN,RB,11,4,5,9,0,6,0,0,0,19,0,2021
383,Kevin Rader ,PIT,TE,6,2,3,8,0,7,0,0,0,4,0,2021
383,Ethan Wolf ,NO,TE,2,2,2,8,0,4,0,0,0,6,0,2021
383,Kalen Ballage ,PIT,RB,17,2,7,8,0,6,0,0,0,10,0,2021
383,Marlon Mack ,IND,RB,6,2,5,8,0,7,0,0,0,4,0,2021
383,J.J. Taylor ,NE,RB,5,4,4,8,0,5,0,1,1,10,0,2021
383,Hunter Long ,MIA,TE,7,1,3,8,0,8,0,0,0,4,0,2021
383,Racey McMath ,TEN,WR,9,2,6,8,0,9,0,1,1,9,0,2021
390,Eric Tomlinson ,BAL,TE,17,1,1,7,0,7,0,0,0,4,0,2021
390,Johnny Stanton IV,CLE,FB,4,2,2,7,1,6,0,0,0,4,1,2021
390,Kyler Murray ,ARI,QB,14,0,0,7,0,7,0,0,0,7,0,2021
393,Miles Boykin ,BAL,WR,8,1,1,6,0,6,0,0,0,0,0,2021
393,Amani Hooker ,TEN,S,12,1,1,6,0,6,0,0,0,2,1,2021
395,Lane Johnson ,PHI,OT,13,1,1,5,1,5,0,0,0,0,1,2021
395,Keke Coutee ,IND,WR,2,1,1,5,0,5,0,0,0,0,0,2021
395,Easop Winston Jr.,NO,WR,3,1,1,5,0,5,0,0,0,9,0,2021
398,Nick Bellore ,SEA,LB,17,1,1,4,0,4,0,0,0,4,0,2021
398,Taylor Decker ,DET,OT,9,2,2,4,1,6,0,0,0,1,1,2021
398,Khari Blasingame ,TEN,FB,11,2,2,4,0,5,0,0,0,4,0,2021
398,Ryan Nall ,CHI,FB,9,1,1,4,0,4,0,0,0,0,0,2021
398,Trayveon Williams ,CIN,RB,5,1,2,4,0,4,0,0,0,11,0,2021
403,Patrick Taylor Jr.,GB,RB,9,2,2,3,0,3,0,0,0,5,1,2021
404,Danny Pinter ,IND,C,16,1,1,2,1,2,0,0,0,0,1,2021
404,Andrew Thomas ,NYG,OT,13,1,1,2,1,2,0,0,0,0,1,2021
406,Conor McDermott ,NYJ,OT,6,1,1,1,1,1,0,0,0,0,1,2021
406,Christian Wilkins ,MIA,DT,17,1,1,1,1,1,0,0,0,0,1,2021
406,Terence Steele ,DAL,OT,16,1,1,1,1,1,0,0,0,0,1,2021
406,Drew Lock ,DEN,QB,6,1,1,1,0,1,0,0,0,6,0,2021
406,Alex Armah ,WSH/NO,RB,11,1,1,1,1,1,0,0,0,1,1,2021
411,Trent Williams ,SF,OT,15,0,1,0,0,0,0,0,0,0,0,2021
411,Travis Benjamin ,SF,WR,10,0,5,0,0,0,0,0,0,0,0,2021
411,Colin Thompson ,CAR,TE,11,0,1,0,0,0,0,0,0,0,0,2021
411,Dion Dawkins ,BUF,OT,16,0,1,0,0,0,0,0,0,0,0,2021
411,Darrell Daniels ,ARI,TE,15,1,4,0,0,0,0,0,0,1,0,2021
411,Keion Crossen ,NYG,CB,16,0,1,0,0,0,0,0,0,0,0,2021
411,Matt Nelson ,DET,OT,13,0,1,0,0,0,0,0,0,0,0,2021
411,Giovanni Ricci ,CAR,FB,16,0,2,0,0,0,0,0,0,0,0,2021
411,Ben Ellefson ,MIN,TE,5,0,1,0,0,0,0,0,0,0,0,2021
411,Tyrie Cleveland ,DEN,WR,7,0,1,0,0,0,0,0,0,0,0,2021
411,Stephen Sullivan ,CAR,TE,3,0,1,0,0,0,0,0,0,0,0,2021
411,Jalen Hurts ,PHI,QB,15,0,1,0,0,0,0,0,0,0,0,2021
411,Jason Huntley ,PHI,RB,1,0,1,0,0,0,0,0,0,0,0,2021
411,Tory Carter ,TEN,FB,7,0,1,0,0,0,0,0,0,0,0,2021
411,Isaiah Coulter ,CHI,WR,2,0,1,0,0,0,0,0,0,0,0,2021
411,Zach Wilson ,NYJ,QB,13,0,1,0,0,0,0,0,0,0,0,2021
411,Mekhi Sargent ,LAR/JAX/TEN,RB,7,0,1,0,0,0,0,0,0,0,0,2021
411,Tevaughn Campbell ,LAC,CB,16,0,1,0,0,0,0,0,0,0,0,2021
429,Larry Rountree III,LAC,RB,12,1,2,-1,0,0,0,0,0,0,0,2021
430,Mike Remmers ,KC,OT,4,1,1,-2,0,-2,0,0,0,-2,0,2021
430,Taylor Heinicke ,WSH,QB,16,1,1,-2,0,0,0,0,0,2,0,2021
432,Diontae Spencer ,DEN,WR,15,1,4,-3,0,0,0,0,0,0,0,2021
433,Aaron Rodgers ,GB,QB,16,1,1,-4,0,-4,0,0,0,0,0,2021
