POS,Nombre,Team,POS,GP,REC,TGTS,YDS,AVG,TD,LNG,BIG,YDS/G,FUM,LST,YAC,FD
413,AJ Dillon,GB,RB,11,2,2,21,10.5,0,16,0,1.9,0,0,16,1
415,Tavon Austin,GB,WR,4,5,5,20,4,0,7,0,5,0,0,45,1
415,Elijhaa Penny,NYG,RB,14,2,3,20,10,0,11,0,1.4,0,0,17,1
415,Antonio Callaway,MIA,WR,5,2,4,20,10,0,13,0,4,0,0,2,1
415,Justice Hill,BAL,RB,12,5,5,20,4,0,8,0,1.7,0,0,28,0
415,Antonio Williams,BUF,RB,1,1,1,20,20,0,20,1,20,0,0,16,1
420,Alfred Morris,NYG,RB,9,3,4,19,6.3,1,9,0,2.1,0,0,17,2
420,Deontay Burnett,PHI,WR,2,3,4,19,6.3,0,10,0,9.5,0,0,4,1
422,C.J. Prosise,HOU,RB,10,5,5,18,3.6,1,10,0,1.8,0,0,26,1
422,Reggie Bonnafon,CAR,RB,2,2,2,18,9,1,15,0,9,0,0,21,2
422,Alex Armah,CAR,RB,16,5,9,18,3.6,0,14,0,1.1,0,0,19,1
425,John Ross,CIN,WR,3,2,7,17,8.5,0,15,0,5.7,0,0,3,1
426,Eric Saubert,JAX,TE,8,3,4,16,5.3,0,9,0,2,0,0,6,0
426,Josh Malone,NYJ,WR,4,4,6,16,4,0,13,0,4,0,0,7,1
426,Reggie Gilliam,BUF,FB,14,2,2,16,8,1,15,0,1.1,0,0,8,2
426,Jaleel Scott,NYJ,WR,1,1,1,16,16,0,16,0,16,0,0,3,1
426,Dalton Keene,NE,TE,6,3,5,16,5.3,0,8,0,2.7,1,0,2,0
426,Colby Parkinson,SEA,TE,6,2,2,16,8,0,10,0,2.7,0,0,4,2
426,Trenton Cannon,CAR,RB,14,3,3,16,5.3,0,19,0,1.1,0,0,13,1
433,Donte Moncrief,NE,WR,6,1,2,15,15,0,15,0,2.5,0,0,14,1
434,Derek Carrier,LV,TE,16,1,1,14,14,0,14,0,0.9,0,0,19,1
434,D'Ernest Johnson,CLE,RB,16,3,4,14,4.7,0,5,0,0.9,0,0,12,0
434,James Proche II,BAL,WR,14,1,3,14,14,0,14,0,1,0,0,8,1
437,Andy Janovich,CLE,FB,14,2,5,13,6.5,0,13,0,0.9,0,0,13,1
437,Keith Kirkwood,CAR,WR,1,1,2,13,13,0,13,0,13,0,0,8,0
437,Siran Neal,BUF,CB,16,1,1,13,13,0,13,0,0.8,0,0,4,1
437,Vyncint Smith,NYJ,WR,7,1,3,13,13,0,13,0,1.9,0,0,2,1
441,Luke Willson,BAL/SEA,TE,3,1,3,12,12,0,12,0,4,0,0,2,0
441,Blake Jarwin,DAL,TE,1,1,1,12,12,0,12,0,12,0,0,0,1
441,Peyton Barber,WSH,RB,16,4,7,12,3,0,7,0,0.8,0,0,10,1
441,Cody Hollister,TEN,WR,2,1,1,12,12,0,12,0,6,0,0,2,1
441,Josiah Deguara,GB,TE,2,1,2,12,12,0,12,0,6,0,0,10,1
441,Josh Allen,BUF,QB,16,1,1,12,12,1,12,0,0.8,0,0,17,1
447,Bennie Fowler,NO,WR,5,2,6,11,5.5,0,7,0,2.2,0,0,1,1
447,Dak Prescott,DAL,QB,5,1,1,11,11,1,11,0,2.2,0,0,1,1
447,Marcus Kemp,KC,WR,10,1,1,11,11,0,11,0,1.1,0,0,9,1
447,Stephen Carlson,CLE,TE,16,1,2,11,11,0,11,0,0.7,0,0,9,1
447,Jonathan Ward,ARI,RB,14,1,1,11,11,1,11,0,0.8,0,0,15,1
452,Temarrick Hemingway,WSH,TE,8,1,2,10,10,0,10,0,1.3,0,0,7,1
452,Gehrig Dieter,KC,WR,4,1,2,10,10,0,10,0,2.5,0,0,5,1
452,Mike Boone,MIN,RB,16,2,2,10,5,0,6,0,0.6,0,0,17,0
452,Ben Ellefson,JAX,TE,7,1,4,10,10,0,10,0,1.4,0,0,3,1
456,Nick Bellore,SEA,LB,16,1,1,9,9,0,9,0,0.6,0,0,7,1
456,Chandler Cox,MIA,FB,8,2,2,9,4.5,0,6,0,1.1,0,0,7,1
458,DeAndre Carter,HOU/CHI,WR,13,1,2,8,8,0,8,0,0.6,0,0,4,0
458,Jason Cabinda,DET,FB,16,2,3,8,4,0,4,0,0.5,0,0,5,1
458,Charlie Heck,HOU,OT,3,0,0,8,0,0,8,0,2.7,1,0,8,0
461,D.J. Foster,ARI,RB,10,1,1,7,7,0,7,0,0.7,0,0,3,1
461,Colin Thompson,CAR,TE,15,1,2,7,7,1,7,0,0.5,0,0,0,1
461,Max Scharping,HOU,G,15,0,0,7,0,0,7,0,0.5,0,0,7,0
461,Scottie Phillips,HOU,RB,8,1,1,7,7,0,7,0,0.9,0,0,4,0
465,Lamar Miller,CHI,RB,1,2,2,6,3,0,7,0,6,0,0,5,1
465,Jeremy Sprinkle,WSH,TE,16,1,3,6,6,0,6,0,0.4,0,0,3,0
465,Baker Mayfield,CLE,QB,16,1,1,6,6,0,6,0,0.4,0,0,1,1
465,Cullen Gillaspia,HOU,LB,7,1,1,6,6,0,6,0,0.9,0,0,8,0
465,Brandon Dillon,MIN,TE,3,1,1,6,6,0,6,0,2,0,0,1,0
470,Anthony Sherman,KC,FB,13,1,2,5,5,1,5,0,0.4,0,0,8,1
470,Tommylee Lewis,NO,WR,5,1,3,5,5,0,5,0,1,0,0,2,0
470,Jake Butt,DEN,TE,5,2,4,5,2.5,0,5,0,1,0,0,2,0
470,D'Onta Foreman,TEN,RB,6,1,1,5,5,1,5,0,0.8,0,0,2,1
470,LeVante Bellamy,DEN,RB,5,1,1,5,5,0,5,0,1,0,0,5,0
470,Trenton Irwin,CIN,WR,1,1,2,5,5,0,5,0,5,0,0,1,0
470,Trevon Wesco,NYJ,TE,12,1,2,5,5,0,5,0,0.4,0,0,0,0
477,Bobby Massie,CHI,OT,8,1,1,4,4,0,4,0,0.5,0,0,2,1
477,Alex Collins,SEA,RB,3,1,2,4,4,0,4,0,1.3,0,0,0,0
477,Dede Westbrook,JAX,WR,2,1,1,4,4,0,4,0,2,0,0,0,0
477,J.J. Taylor,NE,RB,6,1,2,4,4,0,4,0,0.7,0,0,8,0
481,Jason Croom,PHI,TE,4,1,1,3,3,1,3,0,0.8,0,0,0,1
481,Buddy Howell,HOU,RB,14,1,2,3,3,0,3,0,0.2,0,0,7,0
481,Penny Hart,SEA,WR,13,1,1,3,3,0,3,0,0.2,0,0,4,0
481,Antonio Gandy-Golden,WSH,TE,6,1,7,3,3,0,3,0,0.5,0,0,1,0
481,Isaac Nauta,DET,TE,7,1,2,3,3,0,3,0,0.4,0,0,0,0
481,Jordan Thomas,ARI/NE,TE,6,1,2,3,3,1,3,0,0.5,0,0,0,1
481,Jalen Hurts,PHI,QB,15,1,1,3,3,0,3,0,0.2,0,0,9,0
481,Craig Reynolds,JAX,RB,2,1,1,3,3,0,3,0,1.5,0,0,2,0
489,Bruce Miller,JAX,FB,8,1,2,2,2,0,2,0,0.3,0,0,4,1
489,Eric Fisher,KC,OT,15,1,1,2,2,1,2,0,0.1,0,0,1,1
489,Marcus Baugh,WSH,TE,8,1,1,2,2,0,2,0,0.3,0,0,1,0
489,Dontrell Hilliard,HOU/CLE,RB,5,1,1,2,2,0,2,0,0.4,0,0,1,0
489,Adrian Killins,PHI,RB,1,1,1,2,2,0,2,0,2,0,0,7,0
494,Kendall Lamm,CLE,OT,15,1,1,1,1,1,1,0,0.1,0,0,0,1
495,Ryan Fitzpatrick,MIA,QB,9,1,1,0,0,0,0,0,0,0,0,5,0
495,Matthew Stafford,DET,QB,16,0,1,0,0,0,0,0,0,0,0,0,0
495,Taiwan Jones,BUF,RB,13,0,2,0,0,0,0,0,0,0,0,0,0
495,Ryan Tannehill,TEN,QB,16,1,1,0,0,0,0,0,0,0,0,6,0
495,Kenjon Barner,TB,RB,6,0,1,0,0,0,0,0,0,0,0,0,0
495,C.J. Goodwin,DAL,CB,16,0,1,0,0,0,0,0,0,0,0,0,0
495,Eric Tomlinson,BAL/NYG,TE,6,0,1,0,0,0,0,0,0,0,0,0,0
495,Seth DeValve,ARI,TE,4,0,1,0,0,0,0,0,0,0,0,0,0
495,Brandon Allen,CIN,QB,5,0,1,0,0,0,0,0,0,0,0,0,0
495,J.P. Holtz,CHI,TE,16,0,1,0,0,0,0,0,0,0,0,0,0
495,Mason Schreck,CIN,TE,14,0,1,0,0,0,0,0,0,0,0,0,0
495,Jerald Hawkins,PIT,OT,13,0,1,0,0,0,0,0,0,0,0,0,0
495,Tajae Sharpe,MIN,WR,4,0,3,0,0,0,0,0,0,0,0,0,0
495,Kevin Rader,PIT,TE,1,0,1,0,0,0,0,0,0,0,0,0,0
495,PJ Walker,CAR,QB,4,0,1,0,0,0,0,0,0,0,0,0,0
495,Ricky Seals-Jones,KC,TE,2,0,1,0,0,0,0,0,0,0,0,0,0
495,Jeff Badet,WSH,WR,3,0,1,0,0,0,0,0,0,0,0,0,0
495,Taywan Taylor,CLE,WR,3,0,1,0,0,0,0,0,0,0,0,0,0
495,Nick Gates,NYG,C,16,0,1,0,0,0,0,0,0,0,0,0,0
495,Patrick Mahomes,KC,QB,15,0,2,0,0,0,0,0,0,0,0,0,0
495,Tyler Davis,JAX,TE,8,0,2,0,0,0,0,0,0,0,0,0,0
495,Hakeem Butler,PHI,WR,2,0,1,0,0,0,0,0,0,0,0,0,0
495,Noah Togiai,IND,TE,4,0,1,0,0,0,0,0,0,0,0,0,0
495,Joe Reed,LAC,WR,11,0,1,0,0,0,0,0,0,0,0,0,0
495,Gardner Minshew,JAX,QB,9,1,1,0,0,0,0,0,0,0,0,8,0
495,Aaron Brewer,TEN,G,12,0,1,0,0,0,0,0,0,0,0,0,0
495,Jason Huntley,PHI,RB,5,1,2,0,0,0,0,0,0,0,0,1,0
495,Rico Gafford,LV,CB,3,0,2,0,0,0,0,0,0,0,0,0,0
495,Antony Auclair,TB,TE,8,0,1,0,0,0,0,0,0,0,0,0,0
495,Cyril Grayson Jr.,TB,WR,3,0,3,0,0,0,0,0,0,0,0,0,0
525,Andy Dalton,DAL,QB,11,1,1,-3,-3,0,-3,0,-0.3,0,0,3,0
525,Jordan Howard,MIA/PHI,RB,7,1,1,-3,-3,0,0,0,-0.4,1,0,2,0
527,Aaron Rodgers,GB,QB,16,1,1,-6,-6,0,-6,0,-0.4,0,0,1,0
