POS,Nombre,Team,POS,GP,REC,TGTS,YDS,AVG,TD,LNG,BIG,YDS/G,FUM,LST,YAC,FD
238,Auden Tate,CIN,WR,9,14,22,150,10.7,0,19,0,16.7,0,0,54,9
238,Adam Shaheen,MIA,TE,16,12,22,150,12.5,3,43,2,9.4,0,0,109,9
241,Christian McCaffrey,CAR,RB,3,17,19,149,8.8,1,24,1,49.7,0,0,123,8
242,Joshua Kelley,LAC,RB,14,23,23,148,6.4,0,35,1,10.6,0,0,176,9
243,Chris Thompson,JAX,RB,8,20,23,146,7.3,1,15,0,18.3,0,0,113,5
243,O.J. Howard,TB,TE,4,11,19,146,13.3,2,33,2,36.5,0,0,18,8
245,Ian Thomas,CAR,TE,16,20,31,145,7.3,1,21,1,9.1,1,0,79,11
246,Kenny Stills,HOU,WR,10,11,19,144,13.1,1,24,2,14.4,0,0,16,8
247,Christian Blake,ATL,WR,16,13,18,141,10.8,0,25,3,8.8,0,0,26,6
248,Foster Moreau,LV,TE,16,7,9,140,20,2,47,4,8.8,0,0,54,5
249,Alex Erickson,CIN,WR,16,12,17,139,11.6,0,42,2,8.7,0,0,68,5
250,Le'Veon Bell,KC/NYJ,RB,11,16,20,138,8.6,0,30,1,12.5,1,0,139,7
250,Jalen Richard,LV,RB,13,19,23,138,7.3,0,19,0,10.6,0,0,100,5
250,Joe Mixon,CIN,RB,6,21,26,138,6.6,1,19,0,23,0,0,174,5
253,Kenyan Drake,ARI,RB,15,25,31,137,5.5,0,18,0,9.1,0,0,166,5
254,Jeff Wilson Jr.,SF,RB,12,13,28,133,10.2,3,21,1,11.1,0,0,110,8
255,Cordarrelle Patterson,CHI,RB,16,21,25,132,6.3,0,25,1,8.3,0,0,120,7
255,Mike Thomas,CIN,WR,14,13,21,132,10.2,1,29,2,9.4,1,1,28,7
257,Jesse James,DET,TE,16,14,22,129,9.2,2,31,2,8.1,0,0,76,6
257,Gus Edwards,BAL,RB,16,9,13,129,14.3,0,34,3,8.1,0,0,95,4
259,Dion Lewis,NYG,RB,16,19,30,127,6.7,1,17,0,7.9,0,0,83,8
260,Alexander Mattison,MIN,RB,13,13,15,125,9.6,1,28,1,9.6,0,0,130,5
261,Cam Akers,LAR,RB,13,11,14,123,11.2,1,38,2,9.5,0,0,92,4
262,Albert Okwuegbunam Jr.,DEN,TE,4,11,15,121,11,1,27,1,30.3,0,0,72,6
263,J.K. Dobbins,BAL,RB,15,18,24,120,6.7,0,19,0,8,0,0,135,4
264,Tyler Kroft,BUF,TE,10,12,16,119,9.9,3,38,1,11.9,0,0,41,9
265,Chris Hogan,NYJ,WR,5,14,26,118,8.4,0,27,1,23.6,0,0,41,6
266,Equanimeous St. Brown,GB,WR,12,7,13,117,16.7,1,24,3,9.8,0,0,57,6
267,Darrel Williams,KC,RB,16,18,26,116,6.4,0,15,0,7.3,0,0,157,6
268,Alshon Jeffery,PHI,WR,7,6,13,115,19.2,1,39,3,16.4,0,0,26,5
269,Derrick Henry,TEN,RB,16,19,31,114,6,0,53,1,7.1,0,0,131,4
269,Wayne Gallman,NYG,RB,15,21,27,114,5.4,0,19,0,7.6,0,0,107,6
269,Sony Michel,NE,RB,9,7,9,114,16.3,1,31,2,12.7,0,0,148,5
269,Jace Sternberger,GB,TE,12,12,15,114,9.5,1,27,2,9.5,0,0,67,6
273,Nick Boyle,BAL,TE,9,14,17,113,8.1,2,21,1,12.6,0,0,46,8
274,Kaden Smith,NYG,TE,15,18,21,112,6.2,0,16,0,7.5,0,0,92,8
275,DeeJay Dallas,SEA,RB,12,17,20,111,6.5,1,13,0,9.3,0,0,113,5
276,Blake Bell,DAL,TE,16,11,15,110,10,0,24,1,6.9,0,0,47,7
276,Alec Ingold,LV,FB,16,12,17,110,9.2,1,23,2,6.9,0,0,89,9
278,Marcedes Lewis,GB,TE,15,10,17,107,10.7,3,36,1,7.1,0,0,56,6
279,Stephen Anderson,LAC,TE,16,8,11,106,13.3,0,23,1,6.6,0,0,80,7
