POS,Nombre,Team,POS,GP,CMP,ATT,CMP%,YDS,AVG,YDS/G,LNG,TD,INT,SACK,SYL,QBR,RTG
102,Riley Dixon,NYG,P,16,0,1,0,0,0,0,0,0,0,0,0,,39.6
102,Alex Erickson,CIN,WR,16,0,1,0,0,0,0,0,0,0,0,0,8.4,39.6
102,Zach Pascal,IND,WR,16,0,1,0,0,0,0,0,0,0,0,0,1.8,39.6
102,Tim Boyle,GB,QB,8,0,0,0,0,0,0,0,0,0,1,11,0,39.6
102,Jamal Agnew,DET,WR,14,0,1,0,0,0,0,0,0,0,0,0,0.9,39.6
102,DJ Moore,CAR,WR,15,0,1,0,0,0,0,0,0,0,0,0,1,39.6
102,Jeff Smith,NYJ,WR,12,0,0,0,0,0,0,0,0,0,1,16,0,39.6
102,Isaiah Wright,WSH,WR,14,0,1,0,0,0,0,0,0,0,0,0,2.8,39.6
102,James Robinson,JAX,RB,14,0,0,0,0,0,0,0,0,0,1,4,0,39.6
102,CeeDee Lamb,DAL,WR,16,0,0,0,0,0,0,0,0,0,1,4,0,39.6
