POS,Nombre,Team,POS,GP,REC,TGTS,YDS,TD,LNG,BIG,FUM,LST,YAC,FD
339,Luke Stocker ,ATL,TE,15,8,14,53,0,18,0,1,0,36,2
340,DeAndrew White ,CAR,WR,10,4,9,51,0,18,0,0,0,26,3
340,Myles Gaskin ,MIA,RB,7,7,12,51,0,20,1,0,0,49,2
340,Ross Travis ,IND,TE,3,4,6,51,0,25,1,1,1,29,1
340,Stephen Carlson ,CLE,TE,9,5,7,51,1,21,1,0,0,23,2
344,Lance Kendricks ,LAC,TE,12,3,7,50,0,24,1,0,0,10,3
344,Deon Yelder ,KC,TE,9,3,4,50,0,24,1,0,0,32,2
346,Trey Edmunds ,PIT,RB,11,6,7,48,0,11,0,0,0,41,2
346,Deontay Burnett ,PHI,WR,1,2,4,48,0,41,1,0,0,6,1
348,Patrick Ricard ,BAL,FB,16,8,11,47,1,10,0,0,0,55,3
348,Trevon Wesco ,NYJ,TE,16,2,3,47,0,32,1,0,0,41,2
350,Cedrick Wilson Jr.,DAL,WR,6,5,8,46,0,14,0,0,0,13,2
350,Alexander Hollins ,MIN,WR,5,2,4,46,0,35,1,0,0,5,2
352,Gus Edwards ,BAL,RB,16,7,7,45,0,10,0,0,0,47,2
353,Alec Ingold ,OAK,FB,16,6,6,44,1,14,0,0,0,41,4
354,Jordan Wilkins ,IND,RB,14,7,11,43,0,11,0,0,0,32,1
354,Jason Moore ,LAC,WR,10,2,5,43,0,32,1,0,0,7,2
354,Darwin Thompson ,KC,RB,12,9,10,43,0,19,0,0,0,65,2
357,Carlos Hyde ,HOU,RB,16,10,16,42,0,14,0,0,0,54,2
357,Andy Janovich ,DEN,FB,7,5,5,42,0,22,1,0,0,35,1
359,Patrick DiMarco ,BUF,FB,16,5,7,41,0,27,1,0,0,31,1
359,David Njoku ,CLE,TE,4,5,10,41,1,18,0,0,0,14,3
361,TJ Jones ,NYG,WR,3,3,4,38,1,28,1,0,0,20,2
361,Geremy Davis ,LAC,WR,7,3,3,38,0,19,0,0,0,2,1
361,Elandon Roberts ,NE,LB,16,1,1,38,1,38,1,0,0,32,1
361,Troy Fumagalli ,DEN,TE,11,6,9,38,1,9,0,0,0,17,1
365,Steven Mitchell Jr.,HOU,WR,3,2,6,37,0,21,1,0,0,14,2
365,Darrell Henderson Jr.,LAR,RB,13,4,6,37,0,14,0,0,0,38,1
367,Zach Line ,NO,FB,12,6,10,36,0,12,0,0,0,44,1
367,J.J. Nelson ,OAK,WR,2,4,5,36,1,29,1,0,0,14,1
369,Ty Sambrailo ,ATL,OT,13,1,1,35,1,35,1,0,0,22,1
369,Bobo Wilson ,TB,WR,6,3,11,35,0,14,0,0,0,2,2
371,Ishmael Hyman ,TB,WR,2,2,4,34,0,31,1,0,0,0,2
371,Jeff Wilson Jr.,SF,RB,10,3,5,34,1,25,1,0,0,22,1
371,Gunner Olszewski ,NE,WR,8,2,4,34,0,29,1,0,0,17,1
374,Bilal Powell ,NYJ,RB,13,7,12,33,0,9,0,0,0,46,0
374,Jordan Matthews ,SF/PHI,TE,2,4,12,33,0,10,0,0,0,5,1
376,Derek Watt ,LAC,FB,16,3,5,32,0,21,1,0,0,28,1
376,Devin Funchess ,IND,TE,1,3,5,32,0,16,0,0,0,6,2
378,Lee Smith ,BUF,TE,16,4,5,31,1,9,0,0,0,8,2
378,Diontae Spencer ,DEN,WR,16,6,8,31,0,20,1,1,1,32,1
378,C.J. Board ,JAX,WR,4,2,4,31,0,23,1,0,0,6,1
381,Travis Benjamin ,LAC,WR,5,6,16,30,0,13,0,0,0,16,3
381,Drew Sample ,CIN,TE,9,5,6,30,0,21,1,0,0,12,1
381,Codey McElroy ,TB,TE,1,1,1,30,0,30,1,0,0,-1,1
384,Cody Core ,NYG,WR,16,3,5,28,0,11,0,0,0,3,2
385,Pharaoh Brown ,CLE,TE,9,2,3,27,0,18,0,0,0,14,1
385,Ryan Switzer ,PIT,WR,9,8,11,27,0,8,0,0,0,18,2
385,Cam Sims ,WSH,WR,7,2,3,27,0,15,0,0,0,9,1
388,Tanner Hudson ,TB,TE,9,2,5,26,0,14,0,0,0,2,1
388,Johnny Mundt ,LAR,TE,13,4,7,26,0,9,0,0,0,11,1
390,Russell Shepard ,NYG,WR,3,3,8,25,0,12,0,0,0,15,1
391,Darren Sproles ,PHI,RB,6,6,10,24,0,7,0,0,0,31,1
391,Deonte Harty ,NO,WR,14,6,6,24,0,13,0,0,0,38,2
393,Nick Bellore ,SEA,LB,14,2,2,23,1,20,1,0,0,20,2
393,Nick Scott ,LAR,S,16,1,1,23,0,23,1,0,0,23,1
393,Devine Ozigbo ,JAX,RB,10,3,5,23,0,12,0,0,0,20,1
393,Benny Snell Jr.,PIT,RB,13,3,4,23,0,14,0,0,0,25,0
397,Michael Crabtree ,ARI,WR,2,4,5,22,0,9,0,0,0,6,0
397,Anthony Sherman ,KC,FB,16,2,3,22,0,15,0,0,0,27,2
397,Kenjon Barner ,ATL,RB,14,6,8,22,0,13,0,0,0,24,1
397,Spencer Ware ,KC,RB,3,5,7,22,0,18,0,1,0,16,1
397,Mike Davis ,CHI/CAR,RB,12,7,8,22,0,7,0,0,0,30,1
397,Da'Mari Scott ,NYG,WR,5,2,3,22,0,11,0,0,0,14,2
397,Justin Jackson ,LAC,RB,7,9,11,22,0,9,0,0,0,39,0
404,Chris Moore ,BAL,WR,14,3,5,21,0,13,0,0,0,11,0
404,Fred Brown ,DEN,WR,13,2,3,21,0,16,0,0,0,0,1
404,Eric Saubert ,CHI,TE,2,2,3,21,0,11,0,0,0,20,1
404,Johnny Holton ,PIT,WR,16,3,15,21,0,18,0,0,0,9,1
408,Andre Roberts ,BUF,WR,13,3,7,20,0,7,0,0,0,7,1
408,Josh Bellamy ,NYJ,WR,7,2,3,20,0,15,0,0,0,10,1
410,Zach Zenner ,ARI/MIA/NO,RB,4,2,3,19,0,13,0,0,0,20,2
410,David Blough ,DET,QB,5,1,1,19,1,19,0,0,0,5,1
412,Marqise Lee ,JAX,WR,6,3,4,18,0,8,0,0,0,5,2
412,Donte Moncrief ,PIT/CAR,WR,5,4,15,18,0,11,0,0,0,3,1
412,Tra Carson ,DET/GB,RB,3,4,4,18,0,8,0,0,0,15,0
412,Stanley Morgan Jr.,CIN,WR,11,3,10,18,0,9,0,0,0,11,0
416,Darius Jennings ,TEN,WR,8,2,5,17,0,11,0,0,0,15,2
416,Robert Davis ,WSH/PHI,WR,6,2,5,17,0,11,0,0,0,2,2
416,Nick Bawden ,DET,FB,10,4,6,17,0,10,0,0,0,22,1
416,Mike Boone ,MIN,RB,16,3,4,17,0,7,0,0,0,26,0
416,Ashton Dulin ,IND,WR,13,2,2,17,0,13,0,0,0,23,0
421,Malcolm Brown ,LAR,RB,14,2,6,16,0,10,0,0,0,7,0
421,Rashard Davis ,TEN,WR,1,1,1,16,0,16,0,0,0,0,1
423,Ventell Bryant ,DAL,WR,12,1,1,15,1,15,0,0,0,0,1
423,Michael Walker ,JAX,WR,7,2,3,15,0,9,0,0,0,7,1
423,Josh Oliver ,JAX,TE,4,3,6,15,0,6,0,0,0,6,0
426,Ryan Grant ,OAK,WR,2,4,9,14,0,9,0,0,0,6,1
426,Troymaine Pope ,LAC,RB,14,2,3,14,1,13,0,0,0,13,1
426,Mike Thomas ,LAR,WR,16,2,5,14,0,9,0,0,0,10,1
429,Keith Smith ,ATL,FB,16,1,3,13,0,13,0,0,0,13,1
429,T.J. Logan ,TB,RB,12,2,3,13,0,11,0,0,0,9,1
429,Cethan Carter ,CIN,TE,15,2,3,13,1,8,0,0,0,7,2
429,Cody Hollister ,TEN,WR,5,2,2,13,0,11,0,0,0,1,0
429,Isaac Nauta ,DET,TE,6,2,3,13,0,10,0,0,0,7,1
434,Sean Culkin ,LAC,TE,4,1,2,12,0,12,0,0,0,3,1
434,Jeff Smith ,NYJ,WR,1,1,2,12,0,12,0,0,0,-1,1
436,Scott Simonson ,NYG,TE,5,2,2,11,0,10,0,0,0,3,1
436,Chris Manhertz ,CAR,TE,15,1,1,11,0,11,0,0,0,9,1
436,Tyler Ervin ,GB/JAX,RB,10,2,4,11,0,6,0,0,0,11,1
436,Kevin Byard III,TEN,S,16,1,1,11,0,11,0,0,0,8,1
436,John Ursua ,SEA,WR,3,1,1,11,0,11,0,0,0,0,1
436,Antony Auclair ,TB,TE,8,1,3,11,0,11,0,0,0,8,1
442,Levine Toilolo ,SF,TE,13,2,2,10,0,8,0,0,0,14,0
443,Taiwan Jones ,HOU,RB,11,1,1,9,0,9,0,0,0,12,0
443,Elijhaa Penny ,NYG,RB,16,2,4,9,0,9,0,0,0,21,0
443,Javorius Allen ,NYG,RB,10,1,2,9,0,9,0,0,0,5,0
443,Ben Koyack ,JAX,TE,11,1,3,9,0,9,0,0,0,3,0
443,Paul Perkins ,DET,RB,4,1,1,9,0,9,0,0,0,10,0
443,Austin Carr ,NO,WR,6,1,4,9,0,9,0,0,0,4,1
443,Kerrith Whyte ,PIT,RB,6,1,1,9,0,9,0,0,0,11,1
450,Ricky Ortiz ,NO,FB,1,1,1,8,0,8,0,0,0,7,0
450,Jordan Thomas ,HOU,TE,5,1,3,8,0,8,0,0,0,3,0
452,Dwayne Harris ,OAK,WR,3,1,1,7,0,7,0,0,0,8,0
452,Cody Davis ,JAX,S,16,1,1,7,0,7,0,0,0,6,1
452,Chris Herndon ,NYJ,TE,1,1,2,7,0,7,0,0,0,5,0
452,Qadree Ollison ,ATL,RB,8,1,2,7,0,7,0,0,0,3,1
456,De'Anthony Thomas ,BAL/KC,WR,14,1,2,6,0,6,0,0,0,3,0
456,Jeff Driskel ,DET,QB,3,1,1,6,0,6,0,0,0,10,0
456,Dwayne Washington ,NO,RB,16,1,1,6,0,6,0,0,0,12,0
456,Dalton Schultz ,DAL,TE,16,1,2,6,0,6,0,0,0,1,0
456,Deshaun Watson ,HOU,QB,15,1,1,6,1,6,0,0,0,6,1
456,Jaleel Scott ,BAL,WR,3,1,3,6,0,6,0,0,0,5,0
456,Alex Armah ,CAR,RB,16,2,2,6,0,4,0,0,0,7,0
463,Tyrone Swoopes ,SEA,TE,5,1,1,5,0,5,0,0,0,7,0
463,Jakob Johnson ,NE,FB,4,1,2,5,0,5,0,0,0,1,0
463,Charles Jones ,JAX,TE,4,1,1,5,0,5,0,0,0,2,0
463,Bo Scarbrough ,DET,RB,6,1,4,5,0,5,0,0,0,8,0
467,Roosevelt Nix ,PIT,FB,3,2,3,4,0,4,0,0,0,10,0
467,Darrell Daniels ,ARI,TE,11,1,3,4,0,4,0,0,0,0,1
467,Zach Gentry ,PIT,TE,4,1,1,4,0,4,0,0,0,3,1
467,Krishawn Hogan ,NO,WR,8,1,1,4,0,4,0,0,0,2,0
471,Xavier Grimble ,PIT,TE,3,1,3,3,0,3,0,0,0,3,0
471,Cyril Grayson Jr.,TB,WR,2,1,1,3,0,3,0,0,0,1,0
473,Jacoby Brissett ,IND,QB,15,1,1,2,0,2,0,0,0,8,0
474,Dennis Kelly ,TEN,OT,15,1,1,1,1,1,0,0,0,0,1
474,David Quessenberry ,TEN,OT,4,1,1,1,1,1,0,0,0,0,1
474,Senorise Perry ,BUF,RB,11,1,1,1,0,1,0,0,0,1,0
474,Eric Tomlinson ,OAK/NE/NYG,TE,2,1,1,1,0,1,0,0,0,1,0
474,Dion Dawkins ,BUF,OT,16,1,1,1,1,1,0,0,0,0,1
474,Wes Hills ,DET,RB,1,2,2,1,0,2,0,0,0,3,0
474,Darrius Shepherd ,GB,WR,6,1,2,1,0,1,0,0,0,3,0
474,Jonathan Hilliman ,NYG,RB,3,3,4,1,0,5,0,1,1,9,0
474,Jason Sanders ,MIA,PK,16,1,1,1,1,1,0,0,0,0,1
474,Vita Vea ,TB,DT,16,1,1,1,1,1,0,0,0,0,1
474,Christian Wilkins ,MIA,DT,16,1,1,1,1,1,0,1,0,0,1
485,Tyrod Taylor ,LAC,QB,8,0,1,0,0,0,0,0,0,0,0
485,Kirk Cousins ,MIN,QB,15,0,1,0,0,0,0,0,0,0,0
485,Jamize Olawale ,DAL,FB,16,0,2,0,0,0,0,0,0,0,0
485,Deon Lacey ,MIA,LB,16,0,1,0,0,0,0,0,0,0,0
485,Michael Burton ,WSH,FB,10,0,1,0,0,0,0,0,0,0,0
485,Jay Ajayi ,PHI,RB,3,0,1,0,0,0,0,0,0,0,0
485,George Fant ,SEA,OT,16,0,1,0,0,0,0,0,0,0,0
485,Justin Hardee Sr.,NO,CB,16,0,1,0,0,0,0,0,0,0,0
485,Dalyn Dawkins ,TEN,RB,2,0,1,0,0,0,0,0,0,0,0
485,Taywan Taylor ,CLE,WR,3,0,1,0,0,0,0,0,0,0,0
485,Chad Williams ,IND,WR,1,0,1,0,0,0,0,0,0,0,0
485,Michael Deiter ,MIA,G,16,1,1,0,0,0,0,0,0,2,0
485,Travis Fulgham ,DET,WR,3,0,3,0,0,0,0,0,0,0,0
485,Jace Sternberger ,GB,TE,6,0,1,0,0,0,0,0,0,0,0
485,Dane Cruikshank ,TEN,S,16,0,1,0,0,0,0,0,0,0,0
485,Jalen Guyton ,LAC,WR,3,0,2,0,0,0,0,0,0,0,0
485,Lil'Jordan Humphrey ,NO,WR,5,0,1,0,0,0,0,0,0,0,0
485,David Long Jr.,LAR,CB,8,0,1,0,0,0,0,0,0,0,0
503,Jamal Agnew ,DET,WR,13,1,2,-2,0,0,0,0,0,1,0
504,Kaleb McGary ,ATL,OT,16,1,1,-3,0,-3,0,0,0,-3,0
505,Andy Dalton ,CIN,QB,13,1,1,-4,0,-4,0,0,0,4,0
505,Quincy Enunwa ,NYJ,WR,1,1,3,-4,0,8,0,1,1,-4,0
505,Garrett Bradbury ,MIN,C,16,1,1,-4,0,-4,0,0,0,2,0
508,Wyatt Teller ,CLE,G,15,1,1,-5,0,-5,0,0,0,-1,0
