POS,Nombre,Team,POS,GP,REC,TGTS,YDS,TD,LNG,BIG,FUM,LST,YAC,FD
77,JuJu Smith-Schuster ,PIT,WR,12,42,70,552,3,76,7,1,1,243,23
78,Mecole Hardman ,KC,WR,16,26,41,538,6,83,9,0,0,305,18
79,Alvin Kamara ,NO,RB,14,81,97,533,1,41,2,1,0,568,28
80,Jason Witten ,DAL,TE,16,63,83,529,4,33,2,1,1,171,27
80,Alex Erickson ,CIN,WR,16,43,78,529,0,52,5,1,0,230,26
82,Leonard Fournette ,JAX,RB,15,76,100,522,0,27,3,1,1,576,23
83,Mohamed Sanu ,ATL/NE,WR,15,59,89,520,2,28,3,0,0,193,30
84,Dalvin Cook ,MIN,RB,14,53,63,519,0,31,7,1,0,597,26
85,Miles Sanders ,PHI,RB,16,50,63,509,3,45,8,0,0,419,19
86,John Ross ,CIN,WR,8,28,56,506,3,66,10,1,1,200,22
87,T.Y. Hilton ,IND,WR,10,45,68,501,5,35,6,0,0,213,24
88,Alshon Jeffery ,PHI,WR,10,43,73,490,4,38,6,0,0,133,36
89,Allen Lazard ,GB,WR,16,35,52,477,3,43,6,0,0,145,24
90,Aaron Jones ,GB,RB,16,49,68,474,3,67,6,1,1,453,18
91,Evan Engram ,NYG,TE,8,44,68,467,3,75,4,0,0,254,23
92,Le'Veon Bell ,NYJ,RB,15,66,78,461,1,23,2,1,1,454,20
93,O.J. Howard ,TB,TE,14,34,53,459,1,33,8,1,1,165,23
94,Tarik Cohen ,CHI,RB,16,79,104,456,3,31,2,1,0,437,18
95,Marquez Valdes-Scantling ,GB,WR,16,26,56,452,2,74,7,0,0,152,14
96,Demarcus Robinson ,KC,WR,16,32,55,449,4,44,7,0,0,105,19
97,Jack Doyle ,IND,TE,16,43,72,448,4,23,4,1,0,223,29
98,Jimmy Graham ,GB,TE,16,38,60,447,3,48,7,1,0,256,23
99,Russell Gage ,ATL,WR,16,49,74,446,1,19,0,0,0,167,25
100,Jonnu Smith ,TEN,TE,16,35,44,439,3,57,8,0,0,284,16
101,Saquon Barkley ,NYG,RB,13,52,73,438,2,65,6,1,0,441,14
102,Tyler Eifert ,CIN,TE,16,43,63,436,3,27,4,0,0,115,24
103,Demaryius Thomas ,NYJ,WR,11,36,58,433,1,47,4,0,0,176,22
104,Preston Williams ,MIA,WR,8,32,60,428,3,35,6,2,1,71,24
105,Josh Gordon ,SEA/NE,WR,11,27,47,426,1,58,8,0,0,158,16
106,Ted Ginn Jr.,NO,WR,16,30,56,421,2,45,7,0,0,47,20
107,Ezekiel Elliott ,DAL,RB,16,54,71,420,2,27,3,0,0,402,21
108,Adam Thielen ,MIN,WR,10,30,48,418,6,44,8,0,0,123,18
108,Jordan Akins ,HOU,TE,16,36,55,418,2,53,4,0,0,244,21
110,Allen Hurns ,MIA,WR,14,32,47,416,2,27,4,1,1,101,18
111,Devonta Freeman ,ATL,RB,14,59,70,410,4,28,2,1,1,353,17
111,Duke Johnson ,HOU,RB,16,44,62,410,3,21,1,0,0,362,18
113,Gerald Everett ,LAR,TE,13,37,60,408,2,33,6,0,0,180,22
114,Phillip Dorsett ,NE,WR,14,29,54,397,5,58,6,0,0,89,17
115,Dawson Knox ,BUF,TE,15,28,50,388,2,49,7,0,0,149,15
116,Chris Thompson ,WSH,RB,11,42,58,378,0,39,3,1,0,347,16
117,Eric Ebron ,IND,TE,11,31,52,375,3,48,4,0,0,165,20
118,Adam Humphries ,TEN,WR,12,37,47,374,2,30,4,0,0,122,20
119,David Johnson ,ARI,RB,13,36,47,370,4,31,7,1,1,232,17
120,Kyle Rudolph ,MIN,TE,16,39,48,367,6,32,3,0,0,194,24
120,T.J. Hockenson ,DET,TE,12,32,59,367,2,39,6,0,0,202,19
122,Blake Jarwin ,DAL,TE,16,31,41,365,3,42,8,1,0,160,17
122,Kelvin Harmon ,WSH,WR,16,30,44,365,0,30,8,0,0,98,16
124,Nelson Agholor ,PHI,WR,11,39,69,363,3,43,5,2,1,146,17
125,Keelan Cole Sr.,JAX,WR,16,24,35,361,3,55,5,0,0,101,19
126,Damiere Byrd ,ARI,WR,11,32,46,359,1,58,3,1,1,147,16
126,Jakobi Meyers ,NE,WR,15,26,41,359,0,35,9,0,0,123,17
128,Kendrick Bourne ,SF,WR,16,30,44,358,5,30,4,0,0,116,23
129,Taylor Gabriel ,CHI,WR,9,29,48,353,4,53,4,0,0,79,17
130,Albert Wilson ,MIA,WR,13,43,62,351,1,35,4,0,0,181,22
131,Jacob Hollister ,SEA,TE,11,41,59,349,3,22,3,0,0,174,16
131,Hayden Hurst ,BAL,TE,16,30,39,349,2,61,4,0,0,155,16
